cell_id,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C
1.1-1,9.8039,25.4334,31,6.756,0.2807,43,169.2737,157.2626,145.2514,136.5922,131.1453,122.7654,94.1341
1.1-2,9.8039,25.4334,31,7.0808,0.2724,43,168.2961,149.4413,134.2179,114.2458,102.2346,92.3184,67.5978
1.1-3,10.0586,23.4967,31,7.0808,0.2724,43,159.1837,139.864,118.9116,101.7687,92.517,82.449,59.3197
1.1-4,9.9313,24.4651,31,7.0158,0.2791,43,166.069,148.8276,120.4138,100.6897,92.6897,85.6552,65.2414
1.1-5,9.8039,25.4334,31,7.0808,0.2724,43,162.7095,143.1564,122.3464,105.4469,99.3017,90.0838,69.4134
1.1-6,9.9313,24.4651,31,6.9508,0.2857,43,172.2759,150.6207,124.5517,103.0345,93.5172,88.4138,71.8621
1.1-7,9.9313,23.2268,30.5,6.9508,0.2773,42.5,160.4138,150.6207,129.5172,114.6207,99.4483,84.6897,61.3793
1.1-8,10.0586,22.2425,30.5,6.9508,0.2773,42.5,159.1837,140,116.7347,99.4558,84.0816,72.6531,48.9796
1.1-9,9.9313,20.6243,29.5,7.0808,0.2724,43,161.931,153.2414,127.5862,109.6552,95.5862,84.2759,59.0345
1.1-10,9.8039,27.7637,32,7.1457,0.2571,42.5,167.7374,165.7821,132.2626,117.5978,93.9944,83.6592,63.6872
1.1-11,10.0586,23.4967,31,7.0808,0.2638,42.5,161.2245,151.9728,135.3742,119.864,118.2313,113.7415,88.9796
1.1-12,9.9313,20.6243,29.5,7.1457,0.2482,42,155.0345,144.5517,120.9655,98.7586,83.7241,76.5517,57.3793
1.1-13,10.0586,24.2299,31.3,7.3406,0.284,45.3,134.0136,116.1905,93.4694,70.4762,57.1429,46.9388,27.7551
1.1-15,10.5679,24.4944,33,7.3406,0.2561,43.6,166.3212,149.3523,123.5751,107.3834,91.7098,78.6269,57.513
1.1-16,10.5679,21.6451,31.8,7.2757,0.3026,46.1,160.3627,156.3472,126.0363,105.4404,82.9016,72.5389,51.1658
1.1-19,10.6952,19.6909,31.4,7.1457,0.3325,47.3,158.5147,156.082,126.7606,102.8169,88.0922,74.0077,48.1434
1.1-21,10.0586,21.4701,30.2,7.0808,0.2621,42.4,165.4422,160.1361,136.1905,113.7415,97.551,76.7347,49.5238
1.1-24,10.5679,21.1492,31.6,7.2757,0.2965,45.7,147.9275,144.0415,124.4819,108.8083,98.3161,83.0311,52.4611
1.1-25,10.4406,20.5915,31,7.2757,0.2934,45.5,157.2739,155.1769,136.173,115.3342,100.9174,86.3696,57.405
1.1-26,10.4406,23.3126,32.1,7.2107,0.3235,47.1,139.3185,120.8388,105.5046,99.6068,93.1848,75.7536,37.4836
1.1-31,10.1859,23.0249,31.2,7.2757,0.3371,48.5,169.2204,154.1667,130.3763,113.3065,105.6452,96.6398,67.2043
1.1-32,9.9313,23.9746,30.8,7.2757,0.2824,44.8,161.2414,153.6552,127.1724,109.7931,87.5862,71.5862,46.4828
1.1-33,10.5679,23.0961,32.4,7.2757,0.2693,44,151.8135,154.0155,126.0363,107.9016,95.7254,80.0518,54.1451
1.2-1,10.4406,25.4041,33,6.8209,0.3448,46,160.2883,143.6435,123.8532,108.9122,100.3932,87.5492,66.5793
1.2-2,10.3132,26.3138,33,6.626,0.3635,46,160.9562,157.7689,128.2869,108.8977,96.68,88.3134,67.4635
1.2-3,10.4406,25.4041,33,6.8859,0.3386,46,172.0839,149.1481,129.3578,111.7955,99.4758,95.9371,77.4574
1.2-4,10.4406,25.4041,33,6.9508,0.3323,46,161.73,145.6094,124.9017,106.291,99.3447,91.2189,69.2005
1.2-5,10.1859,27.2235,33,6.691,0.3573,46,157.9301,138.0376,114.9194,95.1613,86.1559,75,53.7634
1.2-6,9.9313,29.0429,33,6.691,0.3573,46,163.8621,145.2414,127.5862,108.5517,100.5517,97.2414,81.5172
1.2-7,10.4406,29.6667,35,6.5611,0.3485,44.5,156.0944,150.983,116.3827,92.2674,57.9292,44.4299,30.5374
1.2-8,10.4406,28.6474,34.5,6.8209,0.3302,45,172.0839,157.405,151.114,144.5609,143.1193,138.5321,103.1455
1.2-9,10.4406,25.4041,33,6.756,0.3058,43,161.4679,154.7838,135.7798,127.2608,120.8388,110.2228,82.1756
1.2-10,10.5679,26.7151,34,6.8209,0.315,44,166.1917,152.0725,136.658,128.1088,123.8342,115.9326,87.3057
1.2-12,10.1859,24.9492,32,6.9508,0.3098,44.5,151.4785,136.5591,121.5054,108.0645,98.6559,90.1882,65.9946
1.2-13,10.8225,22.2035,32.8,6.756,0.3819,48.3,159.4185,143.2364,116.3085,95.196,80.6574,66.8774,46.5234
1.2-14,11.4592,22.1375,34.7,6.756,0.3908,49,147.7897,134.2891,103.4648,87.9331,63.3214,40.3823,23.0585
1.2-15,10.5679,26.7151,34,6.8209,0.3641,47.4,150.9067,138.2124,106.9948,81.4767,62.9534,48.1865,34.3264
1.2-16,10.6952,24.7252,33.5,6.8859,0.3499,46.8,144.1741,130.8579,103.4571,80.6658,54.6735,38.0282,25.4802
1.2-17,10.9499,23.3903,33.7,6.8859,0.3499,46.8,139,134,107,82.25,54.125,38.75,25.5
1.2-18,10.8225,24.2811,33.7,6.8859,0.3457,46.5,148.2933,134.5133,100.2528,76.8647,63.3376,53.8559,36.536
1.2-19,10.6952,27.3284,34.7,7.0158,0.3261,46,123.4315,138.5403,115.1088,94.8784,68.886,48.6556,26.6325
1.2-20,10.6952,24.7252,33.5,7.1457,0.3422,48,124.3278,120.6146,94.6223,73.8796,57.4904,43.9181,27.4008
1.2-21,11.0772,25.8021,35.2,7.0158,0.3555,48.1,156.1187,149.0729,120.6428,102.3486,81.0878,67.738,45.6119
1.2-22,10.9499,23.8423,33.9,7.0158,0.2906,43.7,121.75,130.875,111.75,87.875,61.875,43,21.75
1.2-23,10.8225,19.2492,31.6,7.0808,0.3063,45.1,155.7522,148.2933,124.9052,108.8496,81.2895,62.0733,34.5133
1.2-24,10.5679,23.5679,32.6,6.9508,0.325,45.5,150.3886,142.6166,115.6736,92.8757,77.3316,63.601,43.9119
1.2-25,10.6952,23.8156,33.1,7.0808,0.3184,45.9,154.4174,147.1191,121.895,100.2561,79.5134,62.612,37.388
1.2-27,10.6952,24.9492,33.6,7.0158,0.3111,45,145.3265,131.6261,105.2497,85.4033,61.3316,45.9667,28.6812
1.2-29,10.6952,27.7448,34.9,6.8859,0.3178,44.6,153.265,145.4546,121.1268,100.7683,76.8246,59.0269,35.0832
1.2-30,10.8225,26.8847,34.9,7.0158,0.289,43.6,156.1315,147.0291,121.8711,98.4829,83.0594,68.9001,46.2705
1.2-31,10.8225,26.0369,34.5,6.9508,0.322,45.3,153.2238,144.3742,120.2276,100.2528,86.8521,75.4741,50.0632
1.2-32,10.6952,25.8322,34,7.0158,0.2986,44.2,155.3137,144.4302,122.0231,102.4328,85.1473,70.0384,47.8873
1.2-33,10.8225,22.675,33,7.0808,0.3271,46.5,155.6258,145.6384,122.2503,103.9191,92.6675,82.5537,53.4766
1.3-1,10.4406,29.6667,35,6.9508,0.3857,50,181.5203,169.3316,162.1232,151.7693,134.7313,116.1206,74.0498
1.3-2,10.3132,30.5244,35,6.9508,0.3857,50,174.7676,168.7915,156.4409,146.2151,131.7397,115.8035,59.4954
1.3-3,10.3132,30.5244,35,7.2107,0.3628,50,179.0173,166.5339,160.0266,150.996,137.9814,123.9044,84.8606
1.3-4,10.1859,31.3822,35,6.626,0.4144,50,175.9409,166.5323,156.1828,146.6398,134.543,126.4785,95.5645
1.3-5,10.6952,27.9513,35,6.9508,0.3857,50,185.4033,176.8246,169.1421,162.2279,150.5762,135.3393,74.7759
1.3-6,10.4406,29.6667,35,6.756,0.403,50,173.7877,162.7785,155.7012,145.3473,123.8532,103.4076,69.0695
1.3-7,10.4406,35.2194,38,7.0158,0.4151,53,184.6658,175.2294,168.2831,161.9921,149.9345,135.1245,78.5059
1.3-8,10.3132,30.5244,35,7.0808,0.3925,51.5,177.0252,169.4555,163.3466,157.3705,147.8088,136.5206,92.9615
1.3-10,10.4406,32.5571,36.5,7.2107,0.4207,55,182.4378,169.3316,159.8952,149.5413,134.2071,117.038,57.6671
1.3-11,10.5679,33.5551,37.5,7.2107,0.4259,55.5,180.829,170.3368,163.7306,156.0881,144.9482,134.0674,79.7928
1.3-12,10.3132,35.1562,37.5,7.2107,0.4259,55.5,184.0638,172.9084,166.5339,159.761,149.2696,136.5206,76.6268
1.3-14,10.4406,38.7646,40.2,6.9508,0.4071,51.8,169.4627,152.8178,131.979,107.4705,79.2923,62.7785,43.6435
1.3-15,10.1859,31.9653,35.3,7.0158,0.4038,52,172.3118,154.9731,139.785,123.1183,105.2419,92.3387,63.9785
1.3-16,10.5679,32.6572,37,7.0808,0.3983,52,167.4871,149.6114,132.3834,117.3575,100.6477,88.0829,55.1814
1.3-17,10.5679,31.3585,36.3,7.0808,0.4108,53.1,168.0052,156.9948,143.6529,126.6839,104.2746,85.6218,53.3679
1.3-18,10.4406,36.3911,38.7,7.0808,0.3705,49.7,167.8899,155.4391,143.9056,138.4011,128.8336,118.0865,79.9476
1.3-19,10.4406,30.0663,35.2,7.2107,0.4207,55,171.0354,157.1429,144.692,133.945,119.7903,103.5387,57.405
1.3-20,10.4406,31.6204,36,6.9508,0.4238,53.3,170.9043,151.2451,137.3526,120.5767,99.6068,78.8991,42.3329
1.3-21,10.1859,31.1856,34.9,6.8859,0.416,52.1,169.2204,148.5215,129.5699,116.5323,99.5968,85.0807,52.5538
1.3-22,10.5679,33.3774,37.4,7.0158,0.405,52.1,170.8549,162.6943,151.943,135.7513,114.5078,92.228,53.7565
1.3-23,10.4406,31.0458,35.7,6.8859,0.4069,51.3,172.0839,157.2739,146.0026,136.6973,119.6592,100.2621,53.211
1.3-24,10.1859,38.7341,39.2,7.0158,0.4027,51.9,176.8817,163.172,151.4785,141.3979,121.2366,100.1344,54.8387
1.3-25,10.3132,37.4899,38.9,6.8859,0.3701,48.3,113.6786,103.7185,86.8526,64.2762,47.676,33.4661,17.2643
1.3-26,10.5679,34.2563,37.9,7.0158,0.4038,52,175.2591,164.7668,149.8705,131.8653,110.2332,87.9534,44.4301
1.3-27,10.4406,31.2384,35.8,7.0158,0.4248,53.9,171.4286,161.4679,151.9004,139.7117,125.2949,105.5046,53.3421
1.3-28,10.3132,33.3796,36.5,6.9508,0.4025,51.4,171.4475,156.3081,143.0279,124.5684,101.0624,79.6813,45.1527
1.3-29,10.1859,37.1303,38.2,7.1457,0.4164,54.1,182.2581,168.8172,156.586,144.8925,126.3441,92.4731,25.9409
1.3-30,10.3132,30.5244,35,7.2757,0.3934,53,172.51,156.9721,139.3094,125.2324,112.8818,102.7888,68.5259
1.3-31,10.3132,34.2799,37,7.0808,0.4259,54.5,176.494,166.0027,152.8553,137.1846,120.1859,106.9057,59.3626
1.3-32,10.4406,35.2194,38,7.2107,0.4132,54.3,174.3119,169.7248,161.599,152.8178,138.1389,113.8925,39.0564
1.3-33,10.1859,35.2662,37.1,7.2107,0.4228,55.2,179.5699,165.3226,155.914,138.8441,113.5753,89.1129,46.7742
2.1-1,13.6237,17.6366,39,8.1851,0.3176,53,183.5176,174.0704,171.2563,166.4322,155.5779,122.2111,60.1005
2.1-4,13.751,16.8669,39,8.2501,0.3122,53,174.7012,154.1833,142.4303,130.7769,111.1554,88.5458,56.9721
2.1-5,13.6237,17.6366,39,7.9253,0.3393,53,176.9849,168.4422,160.804,149.3467,126.8342,92.2613,52.6633
2.1-7,13.369,27.5372,43.5,8.6398,0.3183,56,170.2149,149.0276,127.6356,106.346,87.9222,68.9867,42.5793
2.1-9,13.6237,23.5197,42,8.445,0.3025,53.5,164.0201,155.5779,124.7236,103.0151,87.8392,67.8392,43.3166
2.1-10,13.6237,25.2983,43,8.5749,0.2783,52.5,159.598,152.6633,126.6332,95.6784,81.407,63.0151,40.402
2.1-11,13.6237,27.8164,44.5,8.5099,0.3163,55,153.5678,148.4422,118.995,89.5477,69.8493,53.9699,33.9699
2.1-13,13.6237,18.6792,39.5,8.5749,0.2527,50.7,143.0151,131.6583,99.196,64.9246,41.1055,31.9598,21.3065
2.1-14,13.6237,17.6366,39,8.445,0.309,54,145.2261,129.6482,105.5276,67.8392,39.8995,30.2513,17.4874
2.1-15,13.4963,18.615,39.1,8.445,0.2654,50.8,112.3732,124.8479,101.217,62.069,37.931,28.499,16.8357
2.1-16,13.2417,20.3543,39.2,8.445,0.2492,49.7,153.3609,151.0858,127.1975,97.3113,69.7001,52.3268,33.4023
2.1-17,13.4963,17.3467,38.5,8.445,0.2669,50.9,156.998,146.146,120.7911,94.7262,66.9371,52.2312,33.7728
2.1-18,13.4963,18.1966,38.9,8.5099,0.2755,51.9,154.7667,145.1319,121.2982,92.4949,59.6349,44.7262,27.8905
2.1-19,13.4963,18.4064,39,8.445,0.2768,51.6,160.3448,150.1014,129.3103,109.4321,90.0609,72.1095,46.0446
2.1-20,13.2417,20.9592,39.5,8.445,0.2796,51.8,147.7766,144.7777,124.819,94.726,63.8056,46.9493,27.4043
2.1-21,13.369,18.9683,38.9,8.445,0.2768,51.6,153.2242,150.2559,129.5804,98.8741,71.5456,52.4053,29.9898
2.1-22,13.6237,19.0889,39.7,8.445,0.2919,52.7,161.5075,150.4523,127.7387,99.0955,59.4975,37.4874,17.3869
2.1-23,12.7324,18.6442,36.9,8.445,0.2567,50.2,156.8817,145.914,123.1183,91.0753,62.1505,46.3441,28.9247
2.1-24,13.6237,18.6792,39.5,8.315,0.2934,52,153.2663,142.9146,116.5829,88.5427,62.1106,44.7236,23.8191
2.1-25,13.6237,19.2922,39.8,8.2501,0.2976,51.9,158.6935,153.6683,127.2362,97.5879,60.402,43.0151,26.1307
2.1-27,13.369,17.9132,38.4,8.5099,0.2684,51.4,158.1372,148.3112,123.9509,91.914,60.1842,44.4217,27.5333
2.1-28,13.369,19.1761,39,8.5099,0.3249,55.7,149.3347,122.2109,117.912,88.741,55.0665,38.1781,19.7544
2.1-29,12.987,20.2586,38.4,8.1851,0.288,50.8,147.2076,142.0443,122.8662,97.2603,66.7018,48.6828,28.6618
2.1-30,13.369,18.1265,38.5,8.445,0.2654,50.8,161.3101,151.8936,132.3439,114.8414,95.8035,74.2068,44.0123
2.1-31,13.1144,20.9184,39.1,8.5099,0.2419,49.6,114.405,113.3612,88.9353,58.0376,39.2484,26.3048,12.2129
2.1-32,13.4963,17.5608,38.6,8.445,0.274,51.4,160.142,150.2028,122.8195,98.9858,81.2373,57.0994,29.9189
2.1-33,13.2417,19.5332,38.8,8.38,0.2668,50.5,163.5988,154.8087,127.4043,104.0331,83.7642,56.4633,28.9555
2.2-1,13.4963,24.2345,42,8.2501,0.3604,57,178.7018,168.6613,167.4442,163.4888,149.3915,119.2698,58.6207
2.2-2,13.4963,24.2345,42,8.2501,0.3604,57,156.6937,153.4483,139.7566,135.6998,114.9087,85.9026,50.5071
2.2-3,13.2417,25.664,42,8.38,0.3504,57,173.6298,160.8066,145.3981,125.6463,102.6887,71.9752,43.4333
2.2-4,13.1144,26.3788,42,8.445,0.3453,57,128.81,132.0459,107.0981,84.5512,69.5198,52.4008,32.3591
2.2-5,13.2417,25.664,42,8.2501,0.3604,57,177.2492,165.0465,152.637,140.0207,121.303,90.2792,48.6039
2.2-6,13.369,24.9492,42,8.2501,0.3604,57,175.5374,158.956,151.9959,141.7605,125.998,93.9611,57.9325
2.2-7,12.6051,26.617,40.5,8.5099,0.3449,57.4,145.3855,136.9164,111.5092,90.0109,74.3757,58.089,40.3909
2.2-8,12.6051,20.7464,37.5,8.5099,0.3321,56.3,154.7231,146.6884,124.7557,104.886,86.5364,68.4039,43.7568
2.2-9,12.987,23.4482,40,8.5099,0.3426,57.2,170.6006,151.6333,137.1971,123.7092,114.7524,96.7334,62.2761
2.2-10,12.987,32.7017,45.5,8.7048,0.3228,56.8,170.4953,150.8957,134.8788,121.7071,110.2213,88.6196,56.5859
2.2-11,13.1144,24.5831,41,8.445,0.3599,58.3,174.2171,155.8455,141.4405,129.8539,111.1691,88.2046,55.9499
2.2-13,13.1144,18.8428,38.1,8.38,0.3,52.9,144.8852,137.6827,109.6033,80.4802,55.5324,37.1608,19.4155
2.2-14,13.2417,19.7401,38.9,8.5749,0.3294,56.5,155.636,150.879,126.2668,95.7601,64.6329,41.7787,22.4405
2.2-15,12.7324,18.6442,36.9,8.5749,0.3123,55.1,153.6559,149.8925,123.5484,96.3441,64.086,40.6452,21.7204
2.2-16,13.369,20.6012,39.7,8.5099,0.2449,49.8,158.4442,148.0041,123.132,92.7329,58.7513,39.9181,20.4708
2.2-17,12.8597,17.3828,36.7,8.445,0.3252,55.3,149.7338,146.6454,128.967,103.5144,72.098,48.2428,26.5176
2.2-18,12.8597,18.2736,37.1,8.445,0.3276,55.5,153.5676,143.131,122.2577,96.5921,65.4952,43.8765,26.7306
2.2-19,13.2417,20.3543,39.2,8.445,0.3276,55.5,164.8397,162.9783,151.2927,135.2637,102.2751,65.4602,31.334
2.2-20,13.4963,20.0464,39.8,8.445,0.2946,52.9,153.9554,147.3631,128.7018,103.3469,77.0791,55.4767,31.8458
2.2-21,13.1144,19.4768,38.4,8.5099,0.31,54.5,157.2025,153.3403,126.618,99.2693,69.4155,46.5553,25.9917
2.2-22,12.8597,20.4186,38.1,8.6398,0.2319,49.7,163.6848,152.7157,130.3514,109.6912,96.0596,80.2982,47.2844
2.2-23,13.1144,19.6859,38.5,8.7698,0.2357,50.7,161.8998,151.0438,128.3925,109.9165,89.9791,65.762,34.7599
2.2-24,13.369,21.3932,40.1,8.5099,0.3151,54.9,166.9396,156.9089,145.65,135.5169,112.1801,71.4432,32.2416
2.2-25,12.987,19.4192,38,8.5099,0.2479,50,160.8008,153.2139,126.765,104.1096,82.7187,57.6396,29.8209
2.2-26,13.1144,19.4768,38.4,8.5749,0.2267,49,164.0919,153.4447,132.2547,112.4217,96.9729,73.7996,38.8309
2.2-27,12.8597,16.9301,36.5,8.7048,0.2338,50.2,160.1704,150.9052,129.18,108.4132,86.688,61.4484,31.3099
2.2-29,12.987,17.907,37.3,8.5749,0.3376,57.2,153.53,152.0548,130.6639,114.7524,82.6133,53.9515,26.765
2.2-30,12.987,23.4482,40,8.5749,0.2527,50.7,133.1928,135.3003,106.6386,87.9874,73.4457,54.8999,28.6618
2.2-31,13.2417,22.1419,40.1,8.5749,0.2267,49,155.4292,144.364,119.3382,93.6918,71.0445,53.3609,30.6101
2.2-32,13.4963,22.5754,41.1,8.6398,0.2365,50,134.5842,125.0507,100.2028,69.574,51.1156,35.1927,17.4442
2.2-33,13.1144,23.4631,40.4,8.445,0.2919,52.7,159.0814,148.0167,123.904,104.6973,79.8539,53.2359,28.2881
2.3-1,13.2417,30.6198,45,8.2501,0.4024,61,182.5233,170.7342,165.3568,159.7725,148.2937,107.3423,39.2968
2.3-3,13.369,29.9526,45,8.38,0.393,61,176.0491,161.7196,156.9089,159.6725,151.0747,127.8403,75.5374
2.3-4,13.2417,30.6198,45,8.1851,0.4071,61,180.7653,166.1841,165.9773,162.2544,154.1882,133.5057,74.7673
2.3-5,13.369,29.9526,45,8.315,0.3977,61,172.3644,163.7666,159.1607,153.4289,137.0522,102.3542,51.1771
2.3-6,13.4963,29.2855,45,8.1851,0.4071,61,180.3245,170.7911,166.2272,161.4605,152.2312,115.7201,46.6531
2.3-7,13.4963,33.7052,48,8.5749,0.3123,55.1,173.6308,163.3874,161.4605,158.3164,149.6957,123.5294,63.7931
2.3-8,12.987,37.5088,49,8.445,0.3325,55.9,180.9273,166.1749,161.0116,155.4268,153.0032,134.0358,77.45
2.3-9,13.6237,28.6184,45,8.5749,0.3353,57,174.6734,160.7035,155.3769,150.3518,149.1457,127.6382,76.4824
2.3-10,13.4963,28.491,44.5,8.445,0.3407,56.6,179.5132,166.2272,163.8945,161.9676,153.9554,127.5862,60.5477
2.3-11,13.4963,32.2946,47,8.5749,0.3222,55.9,179.3103,167.5456,164.1988,157.2008,142.3935,108.215,47.5659
2.3-12,13.4963,29.9085,45.4,8.445,0.3264,55.4,174.9493,155.7809,141.785,127.1805,111.8661,97.8702,69.3712
2.3-13,13.8783,27.9248,45.4,8.38,0.3583,57.7,172.5838,158.6785,156.8047,149.2111,132.2485,87.574,31.6568
2.3-15,13.369,35.4071,48.8,8.38,0.3092,53.6,176.5609,169.3961,157.523,146.6735,117.4002,51.9959,14.5343
2.3-16,13.6237,26.6627,43.8,8.2501,0.3693,57.8,166.3317,153.1658,133.4673,117.8895,106.3317,89.7487,56.3819
2.3-17,13.4963,27.8424,44.1,8.315,0.3588,57.3,179.1254,160.1838,147.5783,138.4186,131.0384,117.861,69.6773
2.3-18,13.6237,31.0693,46.6,8.2501,0.3311,54.5,177.3767,159.7491,140.3947,123.3031,114.5647,97.7219,58.9336
2.3-19,13.4963,34.1169,48.3,8.1851,0.3472,55.4,179.8115,171.4202,163.0793,154.2138,137.1421,78.7506,21.651
2.3-20,13.6237,32.2327,47.4,8.2501,0.3237,53.9,181.9085,167.5161,163.181,161.8366,151.0749,114.9419,42.527
2.3-21,13.6237,32.6589,47.7,8.1851,0.3364,54.5,177.5449,159.8724,145.538,137.4459,133.9548,116.3821,66.7679
2.3-22,13.6237,31.0693,46.6,8.315,0.3565,57.1,172.5361,158.5942,144.5065,129.2517,112.1847,88.0345,53.5945
2.3-23,13.751,27.4677,44.7,8.2501,0.3582,56.8,175.0251,165.0992,154.9997,150.2903,132.9954,75.8326,24.3246
2.3-24,13.751,30.4251,46.6,8.315,0.3709,58.4,179.5647,170.5066,161.1526,151.9096,133.6631,80.748,24.865
2.3-25,13.6237,31.5102,46.9,8.1851,0.329,53.9,175.8794,168.0899,163.5041,157.8746,142.8818,114.5352,55.7157
2.3-26,13.751,27.7908,44.9,8.445,0.3643,58.7,176.3918,167.1297,162.8527,157.0988,144.1435,103.6958,38.5577
2.3-27,13.751,31.3095,47.2,8.2501,0.3593,56.9,173.7492,165.17,162.9254,157.0079,142.0242,80.746,22.3528
2.3-28,13.751,29.2098,45.8,8.1202,0.3428,54.6,173.5967,154.8987,138.5038,118.7542,93.5962,68.2968,42.8691
2.3-29,13.2417,35.0912,48.1,8.315,0.3107,53.3,180.0439,162.814,152.2903,142.1001,130.4992,111.5409,66.5805
2.3-30,13.369,34.4671,48.1,8.38,0.3435,56.4,158.3437,162.7047,145.3273,133.8172,114.0667,85.2747,36.7904
2.3-32,13.1144,27.0733,42.4,8.38,0.3053,53.3,158.2521,157.6465,129.0774,96.5479,74.2673,57.0937,35.8199
2.3-33,13.1144,26.7277,42.2,8.315,0.3196,54,167.094,161.9066,138.6012,127.3158,121.7621,99.3894,52.5859
3.1-1,15.1516,22.3388,46,10.3938,0.2934,65,166.3957,150.6775,120.6865,98.4643,75.7904,58.8979,39.2954
3.1-2,15.2789,21.6862,46,10.3938,0.2934,65,156.9893,146.0574,123.5663,80.914,56.5412,39.5161,24.9104
3.1-3,15.1516,22.3388,46,10.3938,0.2934,65,167.6603,153.0262,127.0099,94.9413,68.654,49.0515,30.0813
3.1-5,15.1516,22.3388,46,10.3288,0.2978,65,166.0343,149.8645,123.6676,95.122,66.3053,50.7678,32.972
3.1-8,15.0242,20.5741,44.6,10.2639,0.288,63.7,108.2954,113.4002,91.887,69.2799,44.3938,26.3446,11.3947
3.1-10,15.6609,19.2014,45.7,10.3938,0.2733,63.2,110.3147,104.1084,71.6783,33.1294,16.6084,9.528,3.8462
3.1-11,15.6609,20.9315,46.7,10.4588,0.2756,63.8,102.7098,93.7937,61.4511,27.8846,13.7238,7.3427,2.6224
3.1-12,15.6609,20.2484,46.3,10.2639,0.318,66.5,162.4126,159.0909,148.8636,134.7902,61.9755,27.0105,9.6154
3.1-13,15.5335,20.0333,45.8,10.3288,0.2419,60.2,158.2379,144.2291,109.2511,75.3304,48.0176,30.9251,14.0969
3.1-14,15.5335,18.6116,45,10.3288,0.2639,62,157.8855,158.326,134.0088,109.6916,71.9824,44.8458,21.3216
3.1-15,15.6609,19.9025,46.1,10.3288,0.2662,62.2,134.1783,133.2168,108.3916,76.9231,48.9511,32.4301,14.8601
3.1-16,15.6609,19.5534,45.9,10.3288,0.279,63.3,162.7622,157.3427,139.2483,126.6608,88.6364,53.4091,21.8532
3.1-17,15.6609,20.7619,46.6,10.3938,0.258,61.9,116.521,114.6853,94.6678,68.5315,33.2168,17.0455,7.1678
3.1-18,15.6609,19.3778,45.8,10.3288,0.288,64.1,146.1539,137.7622,109.8776,71.0664,38.4615,22.3776,9.0909
3.1-19,15.6609,19.0242,45.6,10.3288,0.2406,60.1,126.049,118.5315,97.1154,65.035,33.2168,17.6573,6.993
3.1-20,15.2789,23.0249,46.8,10.3288,0.2924,64.5,140.8602,127.6882,98.8351,61.4695,28.2258,13.7097,5.1075
3.1-21,15.0242,19.6736,44.1,10.3938,0.271,63,119.2343,124.9772,100.1823,67.9125,31.5406,15.7703,6.5634
3.1-22,15.0242,22.4859,45.7,10.3288,0.2444,60.4,138.742,117.0465,89.1522,54.8769,27.9854,15.7703,5.8341
3.1-23,15.5335,18.6116,45,10.3288,0.2924,64.5,136.015,136.652,107.9295,80.3524,43.6123,23.1718,8.6344
3.1-24,15.4062,18.737,44.7,10.3288,0.2639,62,121.4222,113.8667,82.4,46.3111,21.7778,11.9111,4.5333
3.1-25,15.4062,19.8133,45.3,10.3288,0.2493,60.8,149.6,152.4444,117.6889,88.3556,56.3556,36.5333,14.9333
3.1-26,15.5335,20.7256,46.2,10.3938,0.2384,60.3,145.4626,132.7753,106.5198,63.8767,32.511,18.4141,6.6079
3.1-27,15.5335,19.3287,45.4,10.3938,0.2446,60.8,138.8546,126.6079,96.9163,58.8546,27.1366,13.304,5.1101
3.2-1,15.1516,27.0936,49,10.4588,0.3398,70,172.3577,157.8139,119.2412,95.0316,72.5384,54.2909,35.2304
3.2-3,15.1516,27.0936,49,10.4588,0.3398,70,177.1454,157.9946,139.1147,133.0623,92.5023,65.2213,40.3794
3.2-4,15.1516,27.0936,49,10.3938,0.3439,70,167.9196,149.4755,124.3007,96.6783,62.2378,40.7343,22.5525
3.2-5,15.6609,24.6429,49,10.3938,0.3439,70,180.1778,160.7111,136.6222,116.2667,83.2889,58.9333,36.8889
3.2-6,15.4062,25.8682,49,10.3288,0.348,70,175.8023,158.1093,144.059,120.8153,89.5056,62.6193,37.0338
3.2-7,15.7882,19.0757,46,9.8741,0.3019,62.5,143.2599,137.0925,110.0441,84.4053,51.63,33.7445,15.7709
