cell_id,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,calculated_NP_ratio,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C,5C
1,9.8,25.43,31,6.76,28.07,43,1.22,169.27,157.26,145.25,136.59,131.15,122.77,94.13,
2,9.8,25.43,31,7.08,27.24,43,1.28,168.3,149.44,134.22,114.25,102.23,92.32,67.6,
3,10.06,23.5,31,7.08,27.24,43,1.25,159.18,139.86,118.91,101.77,92.52,82.45,59.32,
4,9.93,24.47,31,7.02,27.91,43,1.25,166.07,148.83,120.41,100.69,92.69,85.66,65.24,
5,9.8,25.43,31,7.08,27.24,43,1.28,162.71,143.16,122.35,105.45,99.3,90.08,69.41,
6,9.93,24.47,31,6.95,28.57,43,1.24,172.28,150.62,124.55,103.03,93.52,88.41,71.86,
7,9.93,23.23,30.5,6.95,27.73,42.5,1.24,160.41,150.62,129.52,114.62,99.45,84.69,61.38,
8,10.06,22.24,30.5,6.95,27.73,42.5,1.23,159.18,140,116.73,99.46,84.08,72.65,48.98,
9,9.93,20.62,29.5,7.08,27.24,43,1.27,161.93,153.24,127.59,109.66,95.59,84.28,59.03,
10,9.8,27.76,32,7.15,25.71,42.5,1.29,167.74,165.78,132.26,117.6,93.99,83.66,63.69,
11,10.06,23.5,31,7.08,26.38,42.5,1.25,161.22,151.97,135.37,119.86,118.23,113.74,88.98,
12,9.93,20.62,29.5,7.15,24.82,42,1.28,155.03,144.55,120.97,98.76,83.72,76.55,57.38,
13,10.06,24.23,31.3,7.34,28.4,45.3,1.3,134.01,116.19,93.47,70.48,57.14,46.94,27.76,
14,10.57,24.49,33,7.34,25.61,43.6,1.23,166.32,149.35,123.58,107.38,91.71,78.63,57.51,
15,10.57,21.65,31.8,7.28,30.26,46.1,1.22,160.36,156.35,126.04,105.44,82.9,72.54,51.17,
16,10.7,19.69,31.4,7.15,33.25,47.3,1.18,158.51,156.08,126.76,102.82,88.09,74.01,48.14,
17,10.06,21.47,30.2,7.08,26.21,42.4,1.25,165.44,160.14,136.19,113.74,97.55,76.73,49.52,
18,10.57,21.15,31.6,7.28,29.65,45.7,1.22,147.93,144.04,124.48,108.81,98.32,83.03,52.46,
19,10.44,20.59,31,7.28,29.34,45.5,1.23,157.27,155.18,136.17,115.33,100.92,86.37,57.41,
20,10.44,23.31,32.1,7.21,32.35,47.1,1.22,139.32,120.84,105.5,99.61,93.18,75.75,37.48,
21,10.19,23.02,31.2,7.28,33.71,48.5,1.27,169.22,154.17,130.38,113.31,105.65,96.64,67.2,
22,9.93,23.97,30.8,7.28,28.24,44.8,1.3,161.24,153.66,127.17,109.79,87.59,71.59,46.48,
23,10.57,23.1,32.4,7.28,26.93,44,1.22,151.81,154.02,126.04,107.9,95.73,80.05,54.15,
24,10.44,25.4,33,6.82,34.48,46,1.16,160.29,143.64,123.85,108.91,100.39,87.55,66.58,
25,10.31,26.31,33,6.63,36.35,46,1.14,160.96,157.77,128.29,108.9,96.68,88.31,67.46,
26,10.44,25.4,33,6.89,33.86,46,1.17,172.08,149.15,129.36,111.8,99.48,95.94,77.46,
27,10.44,25.4,33,6.95,33.23,46,1.18,161.73,145.61,124.9,106.29,99.34,91.22,69.2,
28,10.19,27.22,33,6.69,35.73,46,1.16,157.93,138.04,114.92,95.16,86.16,75,53.76,
29,9.93,29.04,33,6.69,35.73,46,1.19,163.86,145.24,127.59,108.55,100.55,97.24,81.52,
30,10.44,29.67,35,6.56,34.85,44.5,1.11,156.09,150.98,116.38,92.27,57.93,44.43,30.54,
31,10.44,28.65,34.5,6.82,33.02,45,1.16,172.08,157.41,151.11,144.56,143.12,138.53,103.15,
32,10.44,25.4,33,6.76,30.58,43,1.14,161.47,154.78,135.78,127.26,120.84,110.22,82.18,
33,10.57,26.72,34,6.82,31.5,44,1.14,166.19,152.07,136.66,128.11,123.83,115.93,87.31,
34,10.19,24.95,32,6.95,30.98,44.5,1.21,151.48,136.56,121.51,108.06,98.66,90.19,65.99,
35,10.82,22.2,32.8,6.76,38.19,48.3,1.1,159.42,143.24,116.31,95.2,80.66,66.88,46.52,
36,11.46,22.14,34.7,6.76,39.08,49,1.04,147.79,134.29,103.46,87.93,63.32,40.38,23.06,
37,10.57,26.72,34,6.82,36.41,47.4,1.14,150.91,138.21,106.99,81.48,62.95,48.19,34.33,
38,10.7,24.73,33.5,6.89,34.99,46.8,1.14,144.17,130.86,103.46,80.67,54.67,38.03,25.48,
39,10.95,23.39,33.7,6.89,34.99,46.8,1.11,139,134,107,82.25,54.13,38.75,25.5,
40,10.82,24.28,33.7,6.89,34.57,46.5,1.12,148.29,134.51,100.25,76.86,63.34,53.86,36.54,
41,10.7,27.33,34.7,7.02,32.61,46,1.16,123.43,138.54,115.11,94.88,68.89,48.66,26.63,
42,10.7,24.73,33.5,7.15,34.22,48,1.18,124.33,120.61,94.62,73.88,57.49,43.92,27.4,
43,11.08,25.8,35.2,7.02,35.55,48.1,1.12,156.12,149.07,120.64,102.35,81.09,67.74,45.61,
44,10.95,23.84,33.9,7.02,29.06,43.7,1.13,121.75,130.88,111.75,87.88,61.88,43,21.75,
45,10.82,19.25,31.6,7.08,30.63,45.1,1.16,155.75,148.29,124.91,108.85,81.29,62.07,34.51,
46,10.57,23.57,32.6,6.95,32.5,45.5,1.17,150.39,142.62,115.67,92.88,77.33,63.6,43.91,
47,10.7,23.82,33.1,7.08,31.84,45.9,1.17,154.42,147.12,121.9,100.26,79.51,62.61,37.39,
48,10.7,24.95,33.6,7.02,31.11,45,1.16,145.33,131.63,105.25,85.4,61.33,45.97,28.68,
49,10.7,27.74,34.9,6.89,31.78,44.6,1.14,153.27,145.45,121.13,100.77,76.82,59.03,35.08,
50,10.82,26.88,34.9,7.02,28.9,43.6,1.15,156.13,147.03,121.87,98.48,83.06,68.9,46.27,
51,10.82,26.04,34.5,6.95,32.2,45.3,1.14,153.22,144.37,120.23,100.25,86.85,75.47,50.06,
52,10.7,25.83,34,7.02,29.86,44.2,1.16,155.31,144.43,122.02,102.43,85.15,70.04,47.89,
53,10.82,22.68,33,7.08,32.71,46.5,1.16,155.63,145.64,122.25,103.92,92.67,82.55,53.48,
54,10.44,29.67,35,6.95,38.57,50,1.18,181.52,169.33,162.12,151.77,134.73,116.12,74.05,
55,10.31,30.52,35,6.95,38.57,50,1.19,174.77,168.79,156.44,146.22,131.74,115.8,59.5,
56,10.31,30.52,35,7.21,36.28,50,1.24,179.02,166.53,160.03,151,137.98,123.9,84.86,
57,10.19,31.38,35,6.63,41.44,50,1.15,175.94,166.53,156.18,146.64,134.54,126.48,95.56,
58,10.7,27.95,35,6.95,38.57,50,1.15,185.4,176.82,169.14,162.23,150.58,135.34,74.78,
59,10.44,29.67,35,6.76,40.3,50,1.14,173.79,162.78,155.7,145.35,123.85,103.41,69.07,
60,10.44,35.22,38,7.02,41.51,53,1.19,184.67,175.23,168.28,161.99,149.93,135.12,78.51,
61,10.31,30.52,35,7.08,39.25,51.5,1.22,177.03,169.46,163.35,157.37,147.81,136.52,92.96,
