cell_id,cathode_weight,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,energy_0.1C,energy_0.2C,energy_0.5C,energy_1C,energy_2C,energy_3C,energy_5C,energy_density_0.1C,energy_density_0.2C,energy_density_0.5C,energy_density_1C,energy_density_2C,energy_density_3C,energy_density_5C,capacity_0.1C,capacity_0.2C,capacity_0.5C,capacity_1C,capacity_2C,capacity_3C,capacity_5C,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C
1.1-1,0.0072,9.8039,25.4334,31,6.756,0.2807,43,0.0044,0.0042,0.0039,0.0036,0.0034,0.0031,0.0023,0.6133,0.5873,0.5419,0.5041,0.4717,0.4325,0.3243,1.212,1.126,1.04,0.978,0.939,0.879,0.674,169.2737,157.2626,145.2514,136.5922,131.1453,122.7654,94.1341
1.1-2,0.0072,9.8039,25.4334,31,7.0808,0.2724,43,0.0043,0.004,0.0036,0.003,0.0026,0.0023,0.0017,0.6024,0.5564,0.5007,0.4232,0.3684,0.3263,0.2334,1.205,1.07,0.961,0.818,0.732,0.661,0.484,168.2961,149.4413,134.2179,114.2458,102.2346,92.3184,67.5978
1.1-3,0.0074,10.0586,23.4967,31,7.0808,0.2724,43,0.0042,0.0038,0.0033,0.0028,0.0025,0.0021,0.0015,0.5683,0.5218,0.4457,0.378,0.3344,0.2916,0.2048,1.17,1.028,0.874,0.748,0.68,0.606,0.436,159.1837,139.864,118.9116,101.7687,92.517,82.449,59.3197
1.1-4,0.0073,9.9313,24.4651,31,7.0158,0.2791,43,0.0043,0.004,0.0033,0.0027,0.0024,0.0022,0.0016,0.5932,0.551,0.4515,0.3738,0.335,0.3039,0.2247,1.204,1.079,0.873,0.73,0.672,0.621,0.473,166.069,148.8276,120.4138,100.6897,92.6897,85.6552,65.2414
1.1-5,0.0072,9.8039,25.4334,31,7.0808,0.2724,43,0.0042,0.0038,0.0033,0.0028,0.0026,0.0023,0.0017,0.5855,0.5363,0.4582,0.3919,0.3594,0.3203,0.2406,1.165,1.025,0.876,0.755,0.711,0.645,0.497,162.7095,143.1564,122.3464,105.4469,99.3017,90.0838,69.4134
1.1-6,0.0073,9.9313,24.4651,31,6.9508,0.2857,43,0.0045,0.0041,0.0034,0.0028,0.0025,0.0023,0.0018,0.6181,0.5608,0.4677,0.3839,0.339,0.3142,0.2483,1.249,1.092,0.903,0.747,0.678,0.641,0.521,172.2759,150.6207,124.5517,103.0345,93.5172,88.4138,71.8621
1.1-7,0.0073,9.9313,23.2268,30.5,6.9508,0.2773,42.5,0.0042,0.004,0.0035,0.0031,0.0026,0.0022,0.0015,0.5726,0.5555,0.4797,0.4204,0.3545,0.2972,0.2098,1.163,1.092,0.939,0.831,0.721,0.614,0.445,160.4138,150.6207,129.5172,114.6207,99.4483,84.6897,61.3793
1.1-8,0.0074,10.0586,22.2425,30.5,6.9508,0.2773,42.5,0.0041,0.0038,0.0032,0.0027,0.0022,0.0019,0.0012,0.56,0.5143,0.4337,0.3611,0.3018,0.2557,0.1674,1.17,1.029,0.858,0.731,0.618,0.534,0.36,159.1837,140,116.7347,99.4558,84.0816,72.6531,48.9796
1.1-9,0.0073,9.9313,20.6243,29.5,7.0808,0.2724,43,0.0042,0.0041,0.0035,0.0029,0.0025,0.0022,0.0015,0.5788,0.5647,0.4766,0.4048,0.3436,0.2975,0.203,1.174,1.111,0.925,0.795,0.693,0.611,0.428,161.931,153.2414,127.5862,109.6552,95.5862,84.2759,59.0345
1.1-10,0.0072,9.8039,27.7637,32,7.1457,0.2571,42.5,0.0042,0.0043,0.0035,0.003,0.0024,0.0021,0.0016,0.5927,0.6011,0.4913,0.4239,0.3397,0.2964,0.219,1.201,1.187,0.947,0.842,0.673,0.599,0.456,167.7374,165.7821,132.2626,117.5978,93.9944,83.6592,63.6872
1.1-11,0.0074,10.0586,23.4967,31,7.0808,0.2638,42.5,0.0043,0.0042,0.0037,0.0033,0.0031,0.0029,0.0022,0.5793,0.5683,0.5064,0.444,0.4248,0.3999,0.305,1.185,1.117,0.995,0.881,0.869,0.836,0.654,161.2245,151.9728,135.3742,119.864,118.2313,113.7415,88.9796
1.1-12,0.0073,9.9313,20.6243,29.5,7.1457,0.2482,42,0.004,0.0038,0.0033,0.0026,0.0022,0.002,0.0014,0.5443,0.5283,0.4503,0.3641,0.3022,0.2709,0.1971,1.124,1.048,0.877,0.716,0.607,0.555,0.416,155.0345,144.5517,120.9655,98.7586,83.7241,76.5517,57.3793
1.1-13,0.0074,10.0586,24.2299,31.3,7.3406,0.284,45.3,0.0035,0.0031,0.0025,0.0019,0.0015,0.0012,0.0007,0.4694,0.4178,0.3378,0.2532,0.2003,0.1604,0.0916,0.985,0.854,0.687,0.518,0.42,0.345,0.204,134.0136,116.1905,93.4694,70.4762,57.1429,46.9388,27.7551
1.1-15,0.0077,10.5679,24.4944,33,7.3406,0.2561,43.6,0.0046,0.0042,0.0035,0.003,0.0025,0.0021,0.0015,0.5917,0.5452,0.4554,0.3871,0.326,0.2742,0.1947,1.284,1.153,0.954,0.829,0.708,0.607,0.444,166.3212,149.3523,123.5751,107.3834,91.7098,78.6269,57.513
1.1-16,0.0077,10.5679,21.6451,31.8,7.2757,0.3026,46.1,0.0044,0.0044,0.0036,0.0029,0.0023,0.0019,0.0013,0.5636,0.5655,0.4593,0.3764,0.2943,0.2518,0.1723,1.238,1.207,0.973,0.814,0.64,0.56,0.395,160.3627,156.3472,126.0363,105.4404,82.9016,72.5389,51.1658
1.1-19,0.0078,10.6952,19.6909,31.4,7.1457,0.3325,47.3,0.0046,0.0043,0.0035,0.0028,0.0024,0.0019,0.0015,0.5912,0.5538,0.4497,0.3631,0.3013,0.2391,0.1948,1.238,1.219,0.99,0.803,0.688,0.578,0.376,158.5147,156.082,126.7606,102.8169,88.0922,74.0077,48.1434
1.1-21,0.0074,10.0586,21.4701,30.2,7.0808,0.2621,42.4,0.0045,0.0042,0.0036,0.003,0.0024,0.0018,0.0015,0.6117,0.5751,0.4902,0.4038,0.3298,0.2499,0.2091,1.216,1.177,1.001,0.836,0.717,0.564,0.364,165.4422,160.1361,136.1905,113.7415,97.551,76.7347,49.5238
1.1-24,0.0077,10.5679,21.1492,31.6,7.2757,0.2965,45.7,0.0043,0.004,0.0035,0.003,0.0026,0.0021,0.0017,0.5602,0.5161,0.4473,0.3877,0.3342,0.2676,0.2183,1.142,1.112,0.961,0.84,0.759,0.641,0.405,147.9275,144.0415,124.4819,108.8083,98.3161,83.0311,52.4611
1.1-25,0.0076,10.4406,20.5915,31,7.2757,0.2934,45.5,0.0045,0.0043,0.0037,0.0031,0.0026,0.0022,0.0018,0.5869,0.5609,0.4885,0.4106,0.3454,0.2819,0.2393,1.2,1.184,1.039,0.88,0.77,0.659,0.438,157.2739,155.1769,136.173,115.3342,100.9174,86.3696,57.405
1.1-26,0.0076,10.4406,23.3126,32.1,7.2107,0.3235,47.1,0.0038,0.0034,0.003,0.0027,0.0025,0.002,0.001,0.4938,0.4422,0.3869,0.3589,0.3245,0.2592,0.1249,1.063,0.922,0.805,0.76,0.711,0.578,0.286,139.3185,120.8388,105.5046,99.6068,93.1848,75.7536,37.4836
1.1-31,0.0074,10.1859,23.0249,31.2,7.2757,0.3371,48.5,0.0045,0.0042,0.0036,0.0031,0.0028,0.0025,0.0017,0.604,0.5677,0.4813,0.4148,0.3746,0.3352,0.2272,1.259,1.147,0.97,0.843,0.786,0.719,0.5,169.2204,154.1667,130.3763,113.3065,105.6452,96.6398,67.2043
1.1-32,0.0073,9.9313,23.9746,30.8,7.2757,0.2824,44.8,0.0042,0.0041,0.0034,0.0029,0.0022,0.0018,0.0011,0.5793,0.5618,0.4652,0.3934,0.308,0.248,0.1567,1.169,1.114,0.922,0.796,0.635,0.519,0.337,161.2414,153.6552,127.1724,109.7931,87.5862,71.5862,46.4828
1.1-33,0.0077,10.5679,23.0961,32.4,7.2757,0.2693,44,0.0043,0.0043,0.0036,0.003,0.0026,0.0022,0.0014,0.5558,0.5621,0.4672,0.3943,0.339,0.2779,0.1826,1.172,1.189,0.973,0.833,0.739,0.618,0.418,151.8135,154.0155,126.0363,107.9016,95.7254,80.0518,54.1451
1.2-1,0.0076,10.4406,25.4041,33,6.8209,0.3448,46,0.0044,0.0041,0.0036,0.0031,0.0028,0.0024,0.0018,0.5823,0.54,0.4663,0.4055,0.3637,0.3126,0.2313,1.223,1.096,0.945,0.831,0.766,0.668,0.508,160.2883,143.6435,123.8532,108.9122,100.3932,87.5492,66.5793
1.2-2,0.0075,10.3132,26.3138,33,6.626,0.3635,46,0.0044,0.0044,0.0036,0.003,0.0026,0.0024,0.0017,0.5792,0.5818,0.4798,0.4043,0.3489,0.3116,0.2305,1.212,1.188,0.966,0.82,0.728,0.665,0.508,160.9562,157.7689,128.2869,108.8977,96.68,88.3134,67.4635
1.2-3,0.0076,10.4406,25.4041,33,6.8859,0.3386,46,0.0047,0.0043,0.0037,0.0032,0.0028,0.0026,0.0021,0.6194,0.5612,0.4849,0.4157,0.3611,0.3419,0.2688,1.313,1.138,0.987,0.853,0.759,0.732,0.591,172.0839,149.1481,129.3578,111.7955,99.4758,95.9371,77.4574
1.2-4,0.0076,10.4406,25.4041,33,6.9508,0.3323,46,0.0044,0.0042,0.0036,0.003,0.0027,0.0025,0.0018,0.5822,0.5467,0.4693,0.3952,0.3587,0.3229,0.2381,1.234,1.111,0.953,0.811,0.758,0.696,0.528,161.73,145.6094,124.9017,106.291,99.3447,91.2189,69.2005
1.2-5,0.0074,10.1859,27.2235,33,6.691,0.3573,46,0.0042,0.0038,0.0032,0.0026,0.0023,0.002,0.0014,0.5644,0.5116,0.4302,0.3534,0.3097,0.2643,0.1848,1.175,1.027,0.855,0.708,0.641,0.558,0.4,157.9301,138.0376,114.9194,95.1613,86.1559,75,53.7634
1.2-6,0.0073,9.9313,29.0429,33,6.691,0.3573,46,0.0042,0.0039,0.0035,0.0029,0.0027,0.0025,0.002,0.5852,0.5429,0.4793,0.4051,0.3654,0.3459,0.2818,1.188,1.053,0.925,0.787,0.729,0.705,0.591,163.8621,145.2414,127.5862,108.5517,100.5517,97.2414,81.5172
1.2-7,0.0076,10.4406,29.6667,35,6.5611,0.3485,44.5,0.0042,0.0042,0.0033,0.0026,0.0016,0.0012,0.0008,0.5543,0.5463,0.4298,0.3337,0.2121,0.1604,0.1063,1.191,1.152,0.888,0.704,0.442,0.339,0.233,156.0944,150.983,116.3827,92.2674,57.9292,44.4299,30.5374
1.2-8,0.0076,10.4406,28.6474,34.5,6.8209,0.3302,45,0.0048,0.0045,0.0043,0.0041,0.0039,0.0037,0.0027,0.6249,0.5895,0.5628,0.5319,0.5127,0.4843,0.3515,1.313,1.201,1.153,1.103,1.092,1.057,0.787,172.0839,157.405,151.114,144.5609,143.1193,138.5321,103.1455
1.2-9,0.0076,10.4406,25.4041,33,6.756,0.3058,43,0.0044,0.0044,0.0039,0.0036,0.0033,0.003,0.0022,0.5814,0.5727,0.5064,0.4692,0.4332,0.3873,0.282,1.232,1.181,1.036,0.971,0.922,0.841,0.627,161.4679,154.7838,135.7798,127.2608,120.8388,110.2228,82.1756
1.2-10,0.0077,10.5679,26.7151,34,6.8209,0.315,44,0.0046,0.0044,0.0039,0.0037,0.0034,0.0031,0.0023,0.5965,0.5653,0.5096,0.4724,0.4431,0.4052,0.2969,1.283,1.174,1.055,0.989,0.956,0.895,0.674,166.1917,152.0725,136.658,128.1088,123.8342,115.9326,87.3057
1.2-12,0.0074,10.1859,24.9492,32,6.9508,0.3098,44.5,0.004,0.0038,0.0034,0.003,0.0026,0.0024,0.0017,0.5387,0.5093,0.4538,0.3993,0.354,0.3177,0.2272,1.127,1.016,0.904,0.804,0.734,0.671,0.491,151.4785,136.5591,121.5054,108.0645,98.6559,90.1882,65.9946
1.2-13,0.0079,10.8225,22.2035,32.8,6.756,0.3819,48.3,0.0045,0.0042,0.0034,0.0028,0.0023,0.0019,0.0013,0.569,0.5278,0.4325,0.3501,0.2876,0.2333,0.1579,1.261,1.133,0.92,0.753,0.638,0.529,0.368,159.4185,143.2364,116.3085,95.196,80.6574,66.8774,46.5234
1.2-14,0.0084,11.4592,22.1375,34.7,6.756,0.3908,49,0.0044,0.0041,0.0032,0.0026,0.0019,0.0012,0.0006,0.5283,0.4913,0.3815,0.3127,0.2208,0.1409,0.0775,1.237,1.124,0.866,0.736,0.53,0.338,0.193,147.7897,134.2891,103.4648,87.9331,63.3214,40.3823,23.0585
